scenario_name,risk_tier,threshold,coverage,accepted_accuracy,expected_loss
baseline_4x,high,0.6,0.8627450980392157,0.9772727272727273,0.4001940220351646
baseline_4x,low,0.7,0.7884615384615384,0.9512195121951219,0.3854477996502061
baseline_4x,mandatory_review,0.5,0.9666666666666667,0.8793103448275862,0.22571502536973145
baseline_4x,medium,0.7,0.927007299270073,0.9606299212598425,0.2523461282203641
high_decision_cost_10x,high,0.7,0.803921568627451,0.975609756097561,0.727123952459408
high_decision_cost_10x,low,0.9,0.5961538461538461,1.0,0.5080232233476448
high_decision_cost_10x,mandatory_review,0.6,0.9333333333333333,0.9107142857142857,0.5119093918085345
high_decision_cost_10x,medium,0.9,0.7518248175182481,0.9805825242718447,0.3636738382730883
high_review_cost_2x,high,0.5,0.9607843137254902,0.9795918367346939,0.180390544252538
high_review_cost_2x,low,0.5,0.9423076923076923,0.9387755102040817,0.2113334759595851
high_review_cost_2x,mandatory_review,0.5,0.9666666666666667,0.8793103448275862,0.11892875634243287
high_review_cost_2x,medium,0.5,0.9635036496350365,0.9621212121212122,0.1335990535991304
symmetric_1x,high,0.5,0.9607843137254902,0.9795918367346939,0.14117485797802823
symmetric_1x,low,0.5,0.9423076923076923,0.9387755102040817,0.1536411682672774
symmetric_1x,mandatory_review,0.5,0.9666666666666667,0.8793103448275862,0.08559542300909954
symmetric_1x,medium,0.5,0.9635036496350365,0.9621212121212122,0.09710270323416689
